2019-12-06 10:09:08 - PHP Notice:  Undefined variable: mysql in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-06 10:09:08 - PHP Notice:  Trying to get property 'connect_error' of non-object in /home/vegedenc/public_html/meho_sufu/install/controller/install/step_3.php on line 280
2019-12-08 8:23:59 - PHP Warning:  unlink(/home/vegedenc/public_html/meho_sufu/system/storage/cache/cache.currency.1575789404): No such file or directory in /home/vegedenc/public_html/meho_sufu/system/library/cache/file.php on line 17
2019-12-11 5:14:10 - PHP Warning:  unlink(/home/vegedenc/public_html/meho_sufu/system/storage/cache/cache.catalog.language.1576044849): No such file or directory in /home/vegedenc/public_html/meho_sufu/system/library/cache/file.php on line 68
2019-12-11 9:45:51 - PHP Warning:  fsockopen(): unable to connect to SSL://vegeden.com.tw:25 (Unable to find the socket transport &quot;SSL&quot; - did you forget to enable it when you configured PHP?) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-11 9:49:23 - PHP Warning:  fsockopen(): unable to connect to SSL://SMTP.vegeden.com.tw:25 (Unable to find the socket transport &quot;SSL&quot; - did you forget to enable it when you configured PHP?) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-11 9:55:26 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-11 9:55:26 - PHP Warning:  fsockopen(): unable to connect to  mail.vegeden.com.tw:465 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-11 10:06:35 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-11 10:06:35 - PHP Warning:  fsockopen(): unable to connect to :25 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:30:09 - PHP Warning:  fsockopen(): unable to connect to SSL://SMTP.sufu.com.tw:465 (Unable to find the socket transport &quot;SSL&quot; - did you forget to enable it when you configured PHP?) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:39:05 - PHP Warning:  fsockopen(): unable to connect to SSL://SMTP.sufu.com.tw:465 (Unable to find the socket transport &quot;SSL&quot; - did you forget to enable it when you configured PHP?) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:39:28 - PHP Warning:  fsockopen(): unable to connect to SSL://SMTP.sufu.com.tw:465 (Unable to find the socket transport &quot;SSL&quot; - did you forget to enable it when you configured PHP?) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:46:23 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:46:23 - PHP Warning:  fsockopen(): unable to connect to mail.sufu.com.tw :465 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:46:55 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:46:55 - PHP Warning:  fsockopen(): unable to connect to smtp.sufu.com.tw :465 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:55:05 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:55:05 - PHP Warning:  fsockopen(): unable to connect to mail.sufu.com.tw:465 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:56:09 - PHP Warning:  fsockopen(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 3:56:09 - PHP Warning:  fsockopen(): unable to connect to mail.sufu.com.tw:587 (php_network_getaddresses: getaddrinfo failed: Name or service not known) in /home/vegedenc/public_html/meho_sufu/system/library/mail/smtp.php on line 87
2019-12-12 5:30:22 - PHP Warning:  unlink(/home/vegedenc/public_html/meho_sufu/system/storage/cache/cache.catalog.language.1576132222): No such file or directory in /home/vegedenc/public_html/meho_sufu/system/library/cache/file.php on line 68
2019-12-13 8:24:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:37 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:24:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:24:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:25:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:25:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:25:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:25:37 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:25:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:25:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:26:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:26:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:26:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:26:37 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:26:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:26:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:27:07 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:27:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:27:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:27:37 - PHP Warning:  mysqli::__construct(): (28000/1045): Access denied for user 'vegedenc_pwd'@'localhost' (using password: YES) in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-13 8:27:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 8:27:37 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-13 9:32:21 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/vegedenc/public_html/meho_sufu/system/library/template/Twig/Node/Module.php on line 346
2019-12-13 9:32:21 - PHP Warning:  count(): Parameter must be an array or an object that implements Countable in /home/vegedenc/public_html/meho_sufu/system/library/template/Twig/Node/Module.php on line 346
2019-12-16 3:35:33 - PHP Notice:  Undefined index: code in /home/vegedenc/public_html/meho_sufu/admin/model/design/layout.php on line 38
2019-12-20 6:07:40 - PHP Warning:  mysqli::__construct(): (42000/1049): Unknown database 'vegedenc_sufu_meho' in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-20 6:07:40 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:07:40 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:07:48 - PHP Warning:  mysqli::__construct(): (42000/1044): Access denied for user 'vegedenc_pwd'@'localhost' to database 'vegedenc_sufu_meho' in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-20 6:07:48 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:07:48 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:08:10 - PHP Warning:  mysqli::__construct(): (42000/1044): Access denied for user 'vegedenc_pwd'@'localhost' to database 'vegedenc_sufu_meho' in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
2019-12-20 6:08:10 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:08:10 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 10
2019-12-20 6:08:22 - PHP Warning:  mysqli::__construct(): (42000/1044): Access denied for user 'vegedenc_pwd'@'localhost' to database 'vegedenc_sufu_meho' in /home/vegedenc/public_html/meho_sufu/system/library/db/mysqli.php on line 7
